City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
306,Alberdi,AR,-32.8899,-60.6906,69.82,78,100,26.46,light rain
307,Benghazi,LY,32.1167,20.0667,56.73,68,10,9.44,clear sky
308,Culebra,PR,18.303,-65.301,83.66,71,0,20.94,clear sky
309,Coihueco,CL,-36.6167,-71.8333,84.94,19,0,11.5,clear sky
310,Izumo,JP,35.3667,132.7667,39.04,79,100,3.27,overcast clouds
311,Tahta,EG,26.7693,31.5021,54.95,41,0,6.2,clear sky
312,Katesh,TZ,-4.5167,35.3833,58.86,91,100,2.8,light rain
313,Klaksvik,FO,62.2266,-6.589,38.32,85,100,18.28,overcast clouds
314,Baoqing,CN,46.3317,132.2111,10.63,95,100,5.77,light snow
315,Tromso,NO,69.6496,18.957,25.38,93,75,10.36,broken clouds
316,Katsuura,JP,35.1333,140.3,39.31,71,8,13.06,clear sky
317,Letlhakeng,BW,-24.0944,25.0298,74.57,42,3,6.89,clear sky
318,Polyarnyy,RU,69.1989,33.4478,21.67,95,100,11.63,light snow
319,Karratha,AU,-20.7377,116.8463,84.76,71,13,4.56,few clouds
320,Sitka,US,57.0531,-135.33,44.49,70,100,13.8,overcast clouds
321,San Jose,US,37.3394,-121.895,78.6,45,20,5.99,few clouds
322,Vestmanna,FO,62.1564,-7.1664,36.52,87,100,12.66,overcast clouds
323,Mendi,PG,-6.1761,143.6513,51.64,88,99,3.2,overcast clouds
324,Ellensburg,US,46.9965,-120.5479,54.25,59,0,4.0,clear sky
325,Kollo,NE,13.3043,2.339,78.3,9,0,9.89,clear sky
326,Maceio,BR,-9.6658,-35.7353,85.44,65,20,16.11,few clouds
327,Morrope,PE,-6.5417,-80.0111,82.51,50,99,15.48,overcast clouds
328,Stykkisholmur,IS,65.0757,-22.7297,22.95,83,100,9.37,overcast clouds
329,Acajutla,SV,13.5928,-89.8275,95.34,55,16,9.75,few clouds
