City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
213,Shu,KZ,2022-02-01 22:07:47,43.5983,73.7614,31.23,72,0,2.15
214,Severo-Kurilsk,RU,2022-02-01 22:07:47,50.6789,156.125,27.75,78,83,11.7
215,Kawalu,ID,2022-02-01 22:07:47,-7.3817,108.2082,72.7,94,97,1.57
216,Ahipara,NZ,2022-02-01 22:02:11,-35.1667,173.1667,73.71,73,100,15.55
217,Buenos Aires,AR,2022-02-01 22:03:44,-34.6132,-58.3772,86.94,52,0,5.75
218,Samarai,PG,2022-02-01 22:07:48,-10.6167,150.6667,81.07,78,100,12.33
219,Khorixas,NA,2022-02-01 22:07:48,-20.3667,14.9667,66.31,54,93,9.62
220,Gaillac,FR,2022-02-01 22:07:49,43.9016,1.8969,46.54,88,100,17.54
221,Haileybury,CA,2022-02-01 22:07:49,47.449,-79.6373,34.38,80,100,19.28
222,Kargil,IN,2022-02-01 22:07:49,34.5667,76.1,-15.59,89,90,2.68
223,Yumen,CN,2022-02-01 22:07:50,40.2833,97.2,17.56,29,6,5.88
224,Gazli,UZ,2022-02-01 22:07:50,40.1333,63.45,46.58,55,100,6.35
225,Chicama,PE,2022-02-01 22:07:50,-7.8447,-79.1469,66.74,60,42,11.3
226,Port Blair,IN,2022-02-01 22:02:10,11.6667,92.75,74.25,74,23,3.47
227,Mehamn,NO,2022-02-01 22:07:51,71.0357,27.8492,17.51,78,50,9.91
228,Anadyr,RU,2022-02-01 22:08:51,64.75,177.4833,21.7,58,51,26.84
229,Makakilo City,US,2022-02-01 22:08:51,21.3469,-158.0858,80.92,53,0,11.5
230,Cidreira,BR,2022-02-01 21:59:02,-30.1811,-50.2056,72.95,71,6,9.82
231,Caravelas,BR,2022-02-01 22:08:52,-17.7125,-39.2481,79.02,85,64,7.4
232,Byron Bay,AU,2022-02-01 22:08:52,-28.65,153.6167,83.88,85,100,4.07
233,Bongandanga,CD,2022-02-01 22:08:52,1.5,21.05,80.71,37,80,1.41
234,Lokosovo,RU,2022-02-01 22:08:53,61.1333,74.8167,-2.38,99,96,4.79
235,Finnsnes,NO,2022-02-01 22:08:53,69.2296,17.9811,15.76,89,99,6.51
